,Value,Feature
104,0,S5_89433301
100,0,S5_65207745
98,0,S4_227842064
95,0,S4_205297849
91,0,S4_187641593
89,0,S4_182645197
88,0,S4_182645175
87,0,S4_182373362
86,0,S4_181309388
85,0,S4_180214767
101,0,S5_65207766
168,0,S2_217265201
80,0,S4_175373410
78,0,S4_121180739
77,0,S4_120025654
76,0,S4_120023805
70,0,S3_125308205
66,0,S3_55537103
65,0,S3_53248184
64,0,S3_8557034
59,0,S1_178102971
82,0,S4_177080506
103,0,S5_65258478
207,0,S5_7438790
110,0,S1_2626260
166,0,S2_213746375
164,0,S2_210251299
163,0,S2_207813292
171,0,S2_235756908
173,0,S2_237549304
175,0,S3_4413878
147,0,S2_19622790
144,0,S1_295718709
143,0,S1_295718668
142,0,S1_295718631
135,0,S1_227210945
132,0,S1_153299096
131,0,S1_88350992
130,0,S1_87210982
129,0,S1_80058764
124,0,S1_49952020
123,0,S1_47294536
120,0,S1_40295123
118,0,S1_38218091
115,0,S1_34595413
111,0,S1_14103019
52,0,S1_144606435
49,0,S1_144494100
169,0,S2_223689421
200,0,S4_183877472
191,0,S4_10628489
217,0,S5_57770334
179,0,S3_32507005
184,0,S3_153743500
213,0,S5_48442820
196,0,S4_175083889
48,0,S1_50284929
190,0,S4_10628411
219,0,S5_80080032
181,0,S3_38078013
195,0,S4_174235358
121,1,S1_42958251
119,1,S1_38224199
194,1,S4_154026731
108,1,S5_109478365
105,1,S5_89434255
102,1,S5_65257052
192,1,S4_55572473
99,1,S5_65207667
177,1,S3_15208892
122,1,S1_43350325
47,1,S1_50197702
127,1,S1_69014010
167,1,S2_215832791
206,1,S4_215629646
162,1,S2_207020599
161,1,S2_206684723
170,1,S2_228836124
159,1,S2_199679802
204,1,S4_210199514
126,1,S1_64145994
154,1,S2_91378197
220,1,S5_87258880
145,1,S1_296577601
218,1,S5_80079918
203,1,S4_204294104
10,1,FlwStG_PC1
141,1,S1_278437794
139,1,S1_256455436
151,1,S2_38999250
29,1,X.K.Sat
84,1,S4_179139359
69,1,S3_125219740
90,1,S4_186369488
72,1,S3_125751159
68,1,S3_82705732
74,1,S4_559104
43,1,S1_15197819
44,1,S1_34331549
210,1,S5_46144704
61,1,S1_249442876
79,1,S4_175150901
81,1,S4_176830111
45,1,S1_37819321
180,1,S3_32507491
54,1,S1_151405819
56,1,S1_161180889
46,1,S1_49890198
53,1,S1_151243731
188,1,S3_216710923
222,2,S5_91876251
202,2,S4_203810821
134,2,S1_226684690
51,2,S1_144571395
136,2,S1_229342565
137,2,S1_246929247
138,2,S1_247232813
150,2,S2_33157979
55,2,S1_151406483
63,2,S2_33833813
62,2,S2_33832258
205,2,S4_215627176
199,2,S4_182170103
57,2,S1_174628689
60,2,S1_179292461
152,2,S2_43287843
58,2,S1_174883906
176,2,S3_5938783
92,2,S4_205208977
71,2,S3_125750900
189,2,S4_2019300
97,2,S4_227841974
31,2,X.Mg.Sat
185,2,S3_182435079
107,2,S5_108947929
182,2,S3_38258873
214,2,S5_56985448
116,2,S1_37162746
109,2,S5_109478428
117,2,S1_37162874
67,3,S3_81739743
96,3,S4_227793546
125,3,S1_64027794
83,3,S4_178782894
94,3,S4_205209141
128,3,S1_73236154
212,3,S5_48207110
148,3,S2_19623073
73,3,S3_191231421
211,3,S5_48206998
165,3,S2_210616951
223,3,S5_94905273
18,3,legume
140,3,S1_263190840
93,3,S4_205209121
158,3,S2_146642504
50,4,S1_144494121
198,4,S4_179575141
133,4,S1_226684665
174,4,S3_2203494
153,4,S2_76487723
193,4,S4_153659851
183,4,S3_126175975
197,4,S4_175088452
209,4,S5_33878230
113,4,S1_19577469
75,4,S4_119907408
187,4,S3_213280567
106,4,S5_108587884
201,5,S4_189555051
112,5,S1_17939166
157,5,S2_140252112
34,5,X..Sand
41,5,LD_05
215,5,S5_57197531
114,5,S1_34134757
160,5,S2_204297911
221,5,S5_87261844
146,5,S2_12954150
149,6,S2_29325616
155,6,S2_106945935
33,6,Mehlich.P.III.ppm.P
156,6,S2_139937572
17,6,MatHar_PC2
19,6,X1.1.Soil.pH
36,6,X..Clay
28,6,X.H.Sat
186,6,S3_193879432
42,6,S1_15197748
208,7,S5_32073558
172,7,S2_237242168
178,7,S3_25908443
35,8,X..Silt
5,8,EnJFlo_PC2
32,8,X.Na.Sat
30,8,X.Ca.Sat
22,8,Nitrate.N.ppm.N
24,8,Sulfate.S.ppm.S
26,8,Magnesium.ppm.Mg
27,9,Sodium.ppm.Na
4,10,EnJFlo_PC1
14,11,EnGMat_PC1
216,12,S5_57197785
9,13,FlaFlw_PC2
21,13,Organic.Matter.LOI..
15,13,EnGMat_PC2
37,15,LD_01
38,15,LD_02
16,15,MatHar_PC1
225,16,V27
13,16,StGEnG_PC2
2,16,EmeEnJ_PC1
1,17,GerEme_PC2
20,18,X1.1.S.Salts.mmho.cm
12,19,StGEnG_PC1
3,19,EmeEnJ_PC2
23,20,Potassium.ppm.K
6,22,FloFla_PC1
39,23,LD_03
40,28,LD_04
7,28,FloFla_PC2
0,30,GerEme_PC1
25,31,Calcium.ppm.Ca
11,31,FlwStG_PC2
8,34,FlaFlw_PC1
224,97,V10
