,Value,Feature
229,0,V22
206,0,S4_215629646
101,0,S5_65207766
102,0,S5_65257052
103,0,S5_65258478
109,0,S5_109478428
99,0,S5_65207667
124,0,S1_49952020
191,1,S4_10628489
76,1,S4_120023805
78,1,S4_121180739
131,1,S1_88350992
100,1,S5_65207745
93,2,S4_205209121
50,2,S1_144494121
79,2,S4_175150901
94,2,S4_205209141
98,2,S4_227842064
179,2,S3_32507005
224,2,V2
207,2,S5_7438790
144,2,S1_295718709
44,2,S1_34331549
48,3,S1_50284929
108,3,S5_109478365
58,3,S1_174883906
59,3,S1_178102971
72,3,S3_125751159
168,3,S2_217265201
89,3,S4_182645197
175,4,S3_4413878
104,4,S5_89433301
52,4,S1_144606435
117,4,S1_37162874
167,4,S2_215832791
105,4,S5_89434255
110,4,S1_2626260
77,4,S4_120025654
195,4,S4_174235358
185,4,S3_182435079
65,5,S3_53248184
142,5,S1_295718631
132,5,S1_153299096
92,5,S4_205208977
75,5,S4_119907408
190,5,S4_10628411
211,5,S5_48206998
184,5,S3_153743500
194,6,S4_154026731
213,6,S5_48442820
51,6,S1_144571395
97,6,S4_227841974
219,6,S5_80080032
95,6,S4_205297849
202,6,S4_203810821
148,6,S2_19623073
116,6,S1_37162746
84,6,S4_179139359
178,6,S3_25908443
189,7,S4_2019300
134,7,S1_226684690
82,7,S4_177080506
193,7,S4_153659851
91,7,S4_187641593
107,7,S5_108947929
106,7,S5_108587884
87,7,S4_182373362
18,8,legume
90,8,S4_186369488
183,8,S3_126175975
153,8,S2_76487723
28,8,X.H.Sat
32,9,X.Na.Sat
47,9,S1_50197702
210,9,S5_46144704
215,9,S5_57197531
139,9,S1_256455436
180,9,S3_32507491
121,9,S1_42958251
80,9,S4_175373410
205,9,S4_215627176
143,9,S1_295718668
216,9,S5_57197785
53,10,S1_151243731
145,10,S1_296577601
187,10,S3_213280567
164,10,S2_210251299
130,10,S1_87210982
61,10,S1_249442876
208,10,S5_32073558
221,10,S5_87261844
161,10,S2_206684723
123,11,S1_47294536
204,11,S4_210199514
165,11,S2_210616951
54,11,S1_151405819
128,12,S1_73236154
56,12,S1_161180889
29,12,X.K.Sat
122,12,S1_43350325
196,12,S4_175083889
67,12,S3_81739743
162,12,S2_207020599
160,12,S2_204297911
159,12,S2_199679802
197,12,S4_175088452
217,13,S5_57770334
181,13,S3_38078013
70,13,S3_125308205
163,13,S2_207813292
49,13,S1_144494100
192,13,S4_55572473
129,13,S1_80058764
86,13,S4_181309388
133,13,S1_226684665
64,13,S3_8557034
135,13,S1_227210945
151,13,S2_38999250
120,13,S1_40295123
140,14,S1_263190840
157,14,S2_140252112
63,14,S2_33833813
154,14,S2_91378197
169,14,S2_223689421
60,14,S1_179292461
177,14,S3_15208892
119,15,S1_38224199
223,15,S5_94905273
170,15,S2_228836124
96,15,S4_227793546
152,15,S2_43287843
83,16,S4_178782894
150,16,S2_33157979
125,16,S1_64027794
203,16,S4_204294104
85,16,S4_180214767
149,17,S2_29325616
158,17,S2_146642504
45,17,S1_37819321
55,17,S1_151406483
43,17,S1_15197819
68,17,S3_82705732
66,17,S3_55537103
71,17,S3_125750900
214,17,S5_56985448
112,17,S1_17939166
176,18,S3_5938783
173,18,S2_237549304
209,18,S5_33878230
126,18,S1_64145994
115,18,S1_34595413
141,18,S1_278437794
57,19,S1_174628689
118,19,S1_38218091
222,20,S5_91876251
199,20,S4_182170103
114,20,S1_34134757
138,20,S1_247232813
137,20,S1_246929247
156,20,S2_139937572
113,20,S1_19577469
36,20,X..Clay
220,21,S5_87258880
200,21,S4_183877472
155,22,S2_106945935
201,22,S4_189555051
127,22,S1_69014010
74,22,S4_559104
69,23,S3_125219740
42,23,S1_15197748
88,23,S4_182645175
46,23,S1_49890198
166,23,S2_213746375
35,23,X..Silt
186,24,S3_193879432
226,24,V11
62,24,S2_33832258
81,24,S4_176830111
111,24,S1_14103019
73,26,S3_191231421
34,26,X..Sand
174,27,S3_2203494
182,27,S3_38258873
171,27,S2_235756908
147,27,S2_19622790
218,27,S5_80079918
172,29,S2_237242168
136,29,S1_229342565
212,30,S5_48207110
198,30,S4_179575141
27,30,Sodium.ppm.Na
188,31,S3_216710923
146,31,S2_12954150
5,34,EnJFlo_PC2
30,36,X.Ca.Sat
225,36,V4
17,36,MatHar_PC2
26,43,Magnesium.ppm.Mg
25,44,Calcium.ppm.Ca
31,45,X.Mg.Sat
24,46,Sulfate.S.ppm.S
11,46,FlwStG_PC2
22,49,Nitrate.N.ppm.N
3,54,EmeEnJ_PC2
19,56,X1.1.Soil.pH
8,56,FlaFlw_PC1
15,60,EnGMat_PC2
7,60,FloFla_PC2
1,62,GerEme_PC2
13,63,StGEnG_PC2
20,64,X1.1.S.Salts.mmho.cm
9,64,FlaFlw_PC2
33,67,Mehlich.P.III.ppm.P
23,67,Potassium.ppm.K
12,71,StGEnG_PC1
14,75,EnGMat_PC1
16,75,MatHar_PC1
21,76,Organic.Matter.LOI..
10,77,FlwStG_PC1
4,81,EnJFlo_PC1
2,97,EmeEnJ_PC1
6,99,FloFla_PC1
0,133,GerEme_PC1
227,177,V13
228,236,V17
39,279,LD_03
38,343,LD_02
37,349,LD_01
41,354,LD_05
40,355,LD_04
