,Value,Feature
131,2,S1_88350992
206,3,S4_215629646
103,7,S5_65258478
78,7,S4_121180739
207,8,S5_7438790
100,8,S5_65207745
124,9,S1_49952020
44,9,S1_34331549
101,9,S5_65207766
65,10,S3_53248184
104,11,S5_89433301
179,11,S3_32507005
102,12,S5_65257052
109,13,S5_109478428
195,13,S4_174235358
99,13,S5_65207667
108,14,S5_109478365
76,14,S4_120023805
107,16,S5_108947929
84,19,S4_179139359
184,19,S3_153743500
18,19,legume
52,20,S1_144606435
51,20,S1_144571395
168,21,S2_217265201
45,21,S1_37819321
175,22,S3_4413878
87,22,S4_182373362
110,22,S1_2626260
48,22,S1_50284929
185,23,S3_182435079
75,23,S4_119907408
116,24,S1_37162746
77,25,S4_120025654
115,26,S1_34595413
200,27,S4_183877472
167,27,S2_215832791
80,28,S4_175373410
130,28,S1_87210982
132,29,S1_153299096
210,29,S5_46144704
192,29,S4_55572473
117,29,S1_37162874
215,30,S5_57197531
211,31,S5_48206998
193,31,S4_153659851
142,31,S1_295718631
94,32,S4_205209141
144,32,S1_295718709
153,33,S2_76487723
129,34,S1_80058764
93,34,S4_205209121
160,34,S2_204297911
202,35,S4_203810821
213,35,S5_48442820
59,36,S1_178102971
47,36,S1_50197702
151,36,S2_38999250
82,37,S4_177080506
91,38,S4_187641593
119,38,S1_38224199
176,38,S3_5938783
55,39,S1_151406483
201,39,S4_189555051
143,39,S1_295718668
95,40,S4_205297849
164,40,S2_210251299
141,41,S1_278437794
159,41,S2_199679802
191,41,S4_10628489
145,42,S1_296577601
122,43,S1_43350325
49,44,S1_144494100
81,44,S4_176830111
221,45,S5_87261844
156,46,S2_139937572
223,46,S5_94905273
180,47,S3_32507491
177,47,S3_15208892
208,47,S5_32073558
105,47,S5_89434255
217,47,S5_57770334
43,47,S1_15197819
58,47,S1_174883906
56,48,S1_161180889
140,48,S1_263190840
158,48,S2_146642504
90,48,S4_186369488
61,48,S1_249442876
189,48,S4_2019300
96,48,S4_227793546
205,49,S4_215627176
170,49,S2_228836124
198,49,S4_179575141
152,50,S2_43287843
74,50,S4_559104
88,51,S4_182645175
139,51,S1_256455436
86,51,S4_181309388
174,52,S3_2203494
60,52,S1_179292461
135,52,S1_227210945
171,53,S2_235756908
204,53,S4_210199514
111,53,S1_14103019
125,54,S1_64027794
173,54,S2_237549304
196,54,S4_175083889
106,55,S5_108587884
138,55,S1_247232813
194,55,S4_154026731
85,55,S4_180214767
161,56,S2_206684723
203,57,S4_204294104
181,57,S3_38078013
128,57,S1_73236154
209,57,S5_33878230
79,57,S4_175150901
97,57,S4_227841974
92,57,S4_205208977
148,58,S2_19623073
163,58,S2_207813292
98,58,S4_227842064
165,58,S2_210616951
137,58,S1_246929247
72,58,S3_125751159
147,58,S2_19622790
53,59,S1_151243731
182,60,S3_38258873
197,61,S4_175088452
219,62,S5_80080032
123,64,S1_47294536
214,64,S5_56985448
126,64,S1_64145994
73,65,S3_191231421
183,66,S3_126175975
114,66,S1_34134757
134,66,S1_226684690
178,67,S3_25908443
69,67,S3_125219740
162,68,S2_207020599
188,68,S3_216710923
222,68,S5_91876251
71,68,S3_125750900
169,69,S2_223689421
199,71,S4_182170103
157,71,S2_140252112
89,72,S4_182645197
62,72,S2_33832258
216,72,S5_57197785
66,73,S3_55537103
172,73,S2_237242168
190,74,S4_10628411
46,74,S1_49890198
146,74,S2_12954150
150,74,S2_33157979
112,75,S1_17939166
120,75,S1_40295123
57,75,S1_174628689
127,76,S1_69014010
218,76,S5_80079918
50,76,S1_144494121
133,77,S1_226684665
32,78,X.Na.Sat
54,79,S1_151405819
64,82,S3_8557034
155,82,S2_106945935
63,83,S2_33833813
118,83,S1_38218091
149,83,S2_29325616
166,83,S2_213746375
68,85,S3_82705732
187,85,S3_213280567
186,86,S3_193879432
70,87,S3_125308205
121,88,S1_42958251
42,92,S1_15197748
154,94,S2_91378197
136,94,S1_229342565
212,94,S5_48207110
220,99,S5_87258880
83,100,S4_178782894
113,100,S1_19577469
67,110,S3_81739743
28,112,X.H.Sat
29,122,X.K.Sat
31,141,X.Mg.Sat
224,150,V5
36,162,X..Clay
35,169,X..Silt
25,192,Calcium.ppm.Ca
27,203,Sodium.ppm.Na
33,210,Mehlich.P.III.ppm.P
24,217,Sulfate.S.ppm.S
19,218,X1.1.Soil.pH
26,219,Magnesium.ppm.Mg
21,221,Organic.Matter.LOI..
30,221,X.Ca.Sat
22,222,Nitrate.N.ppm.N
23,235,Potassium.ppm.K
14,252,EnGMat_PC1
13,254,StGEnG_PC2
12,255,StGEnG_PC1
20,299,X1.1.S.Salts.mmho.cm
34,315,X..Sand
7,318,FloFla_PC2
10,325,FlwStG_PC1
5,334,EnJFlo_PC2
15,346,EnGMat_PC2
9,354,FlaFlw_PC2
1,354,GerEme_PC2
3,357,EmeEnJ_PC2
0,358,GerEme_PC1
8,358,FlaFlw_PC1
4,362,EnJFlo_PC1
6,364,FloFla_PC1
41,377,LD_05
2,391,EmeEnJ_PC1
16,406,MatHar_PC1
17,441,MatHar_PC2
11,490,FlwStG_PC2
38,515,LD_02
225,523,V7
37,539,LD_01
226,541,V14
40,545,LD_04
227,564,V15
228,691,V23
39,703,LD_03
