,Value,Feature
124,0,S1_49952020
94,0,S4_205209141
50,0,S1_144494121
145,0,S1_296577601
144,0,S1_295718709
98,0,S4_227842064
99,0,S5_65207667
93,0,S4_205209121
137,0,S1_246929247
132,0,S1_153299096
101,0,S5_65207766
76,0,S4_120023805
102,0,S5_65257052
103,0,S5_65258478
119,0,S1_38224199
100,0,S5_65207745
110,0,S1_2626260
167,0,S2_215832791
197,0,S4_175088452
60,0,S1_179292461
215,0,S5_57197531
213,0,S5_48442820
77,0,S4_120025654
206,0,S4_215629646
78,0,S4_121180739
17,0,MatHar_PC2
109,0,S5_109478428
187,0,S3_213280567
184,0,S3_153743500
183,0,S3_126175975
179,0,S3_32507005
175,0,S3_4413878
84,0,S4_179139359
79,1,S4_175150901
82,1,S4_177080506
104,1,S5_89433301
105,1,S5_89434255
107,1,S5_108947929
80,1,S4_175373410
89,1,S4_182645197
115,1,S1_34595413
229,1,V23
219,1,S5_80080032
211,1,S5_48206998
202,1,S4_203810821
195,1,S4_174235358
191,1,S4_10628489
180,1,S3_32507491
169,1,S2_223689421
168,1,S2_217265201
165,1,S2_210616951
164,1,S2_210251299
148,1,S2_19623073
142,1,S1_295718631
139,1,S1_256455436
134,1,S1_226684690
131,1,S1_88350992
123,1,S1_47294536
122,1,S1_43350325
121,1,S1_42958251
117,1,S1_37162874
108,1,S5_109478365
65,1,S3_53248184
222,1,S5_91876251
48,1,S1_50284929
44,1,S1_34331549
51,1,S1_144571395
52,1,S1_144606435
18,1,legume
32,1,X.Na.Sat
227,1,V19
59,1,S1_178102971
154,2,S2_91378197
189,2,S4_2019300
85,2,S4_180214767
158,2,S2_146642504
129,2,S1_80058764
162,2,S2_207020599
90,2,S4_186369488
225,2,V13
42,2,S1_15197748
159,2,S2_199679802
53,2,S1_151243731
55,2,S1_151406483
45,2,S1_37819321
151,2,S2_38999250
194,2,S4_154026731
75,2,S4_119907408
118,2,S1_38218091
218,2,S5_80079918
34,2,X..Sand
193,2,S4_153659851
207,2,S5_7438790
216,2,S5_57197785
171,3,S2_235756908
116,3,S1_37162746
133,3,S1_226684665
140,3,S1_263190840
120,3,S1_40295123
106,3,S5_108587884
138,3,S1_247232813
143,3,S1_295718668
47,3,S1_50197702
205,3,S4_215627176
200,3,S4_183877472
72,3,S3_125751159
74,3,S4_559104
58,3,S1_174883906
57,3,S1_174628689
192,3,S4_55572473
86,3,S4_181309388
81,3,S4_176830111
91,3,S4_187641593
49,3,S1_144494100
95,3,S4_205297849
186,3,S3_193879432
185,4,S3_182435079
209,4,S5_33878230
203,4,S4_204294104
173,4,S2_237549304
141,4,S1_278437794
196,4,S4_175083889
147,4,S2_19622790
182,4,S3_38258873
163,4,S2_207813292
172,4,S2_237242168
152,4,S2_43287843
29,4,X.K.Sat
178,4,S3_25908443
64,4,S3_8557034
56,4,S1_161180889
128,4,S1_73236154
92,4,S4_205208977
126,4,S1_64145994
67,4,S3_81739743
221,4,S5_87261844
97,4,S4_227841974
112,4,S1_17939166
96,4,S4_227793546
87,5,S4_182373362
54,5,S1_151405819
174,5,S3_2203494
83,5,S4_178782894
198,5,S4_179575141
199,5,S4_182170103
71,5,S3_125750900
70,5,S3_125308205
204,5,S4_210199514
125,5,S1_64027794
46,5,S1_49890198
217,5,S5_57770334
170,5,S2_228836124
220,5,S5_87258880
63,5,S2_33833813
177,5,S3_15208892
176,6,S3_5938783
190,6,S4_10628411
223,6,S5_94905273
61,6,S1_249442876
5,6,EnJFlo_PC2
208,6,S5_32073558
62,6,S2_33832258
181,6,S3_38078013
166,6,S2_213746375
111,6,S1_14103019
146,6,S2_12954150
30,6,X.Ca.Sat
28,6,X.H.Sat
150,6,S2_33157979
66,7,S3_55537103
214,7,S5_56985448
135,7,S1_227210945
136,7,S1_229342565
68,7,S3_82705732
69,7,S3_125219740
31,7,X.Mg.Sat
201,7,S4_189555051
35,7,X..Silt
149,7,S2_29325616
88,7,S4_182645175
36,7,X..Clay
130,7,S1_87210982
157,7,S2_140252112
156,7,S2_139937572
153,7,S2_76487723
161,7,S2_206684723
226,7,V16
13,8,StGEnG_PC2
33,8,Mehlich.P.III.ppm.P
113,8,S1_19577469
73,8,S3_191231421
43,8,S1_15197819
210,8,S5_46144704
114,9,S1_34134757
24,9,Sulfate.S.ppm.S
7,9,FloFla_PC2
212,9,S5_48207110
10,9,FlwStG_PC1
127,9,S1_69014010
160,9,S2_204297911
26,10,Magnesium.ppm.Mg
12,10,StGEnG_PC1
21,10,Organic.Matter.LOI..
19,11,X1.1.Soil.pH
25,11,Calcium.ppm.Ca
188,11,S3_216710923
155,12,S2_106945935
1,12,GerEme_PC2
20,13,X1.1.S.Salts.mmho.cm
8,13,FlaFlw_PC1
16,14,MatHar_PC1
2,14,EmeEnJ_PC1
11,14,FlwStG_PC2
15,15,EnGMat_PC2
9,16,FlaFlw_PC2
22,18,Nitrate.N.ppm.N
23,19,Potassium.ppm.K
3,19,EmeEnJ_PC2
4,20,EnJFlo_PC1
14,20,EnGMat_PC1
27,20,Sodium.ppm.Na
6,20,FloFla_PC1
224,22,V2
0,36,GerEme_PC1
230,36,V31
228,37,V20
38,42,LD_02
41,43,LD_05
39,59,LD_03
40,61,LD_04
37,80,LD_01
