,Value,Feature
105,0,S5_89434255
129,0,S1_80058764
130,0,S1_87210982
131,0,S1_88350992
132,0,S1_153299096
133,0,S1_226684665
134,0,S1_226684690
136,0,S1_229342565
137,0,S1_246929247
138,0,S1_247232813
128,0,S1_73236154
139,0,S1_256455436
141,0,S1_278437794
142,0,S1_295718631
143,0,S1_295718668
144,0,S1_295718709
145,0,S1_296577601
147,0,S2_19622790
148,0,S2_19623073
213,0,S5_48442820
150,0,S2_33157979
140,0,S1_263190840
127,0,S1_69014010
126,0,S1_64145994
125,0,S1_64027794
100,0,S5_65207745
101,0,S5_65207766
102,0,S5_65257052
103,0,S5_65258478
104,0,S5_89433301
209,0,S5_33878230
108,0,S5_109478365
109,0,S5_109478428
110,0,S1_2626260
111,0,S1_14103019
223,0,S5_94905273
113,0,S1_19577469
115,0,S1_34595413
116,0,S1_37162746
117,0,S1_37162874
119,0,S1_38224199
120,0,S1_40295123
121,0,S1_42958251
122,0,S1_43350325
123,0,S1_47294536
124,0,S1_49952020
151,0,S2_38999250
99,0,S5_65207667
152,0,S2_43287843
154,0,S2_91378197
187,0,S3_213280567
188,0,S3_216710923
189,0,S4_2019300
191,0,S4_10628489
192,0,S4_55572473
193,0,S4_153659851
194,0,S4_154026731
195,0,S4_174235358
196,0,S4_175083889
186,0,S3_193879432
197,0,S4_175088452
199,0,S4_182170103
200,0,S4_183877472
202,0,S4_203810821
203,0,S4_204294104
204,0,S4_210199514
205,0,S4_215627176
206,0,S4_215629646
207,0,S5_7438790
208,0,S5_32073558
198,0,S4_179575141
185,0,S3_182435079
184,0,S3_153743500
182,0,S3_38258873
211,0,S5_48206998
158,0,S2_146642504
161,0,S2_206684723
162,0,S2_207020599
163,0,S2_207813292
164,0,S2_210251299
165,0,S2_210616951
166,0,S2_213746375
167,0,S2_215832791
168,0,S2_217265201
169,0,S2_223689421
170,0,S2_228836124
171,0,S2_235756908
173,0,S2_237549304
174,0,S3_2203494
175,0,S3_4413878
177,0,S3_15208892
178,0,S3_25908443
179,0,S3_32507005
180,0,S3_32507491
181,0,S3_38078013
212,0,S5_48207110
98,0,S4_227842064
210,0,S5_46144704
96,0,S4_227793546
47,0,S1_50197702
48,0,S1_50284929
50,0,S1_144494121
51,0,S1_144571395
52,0,S1_144606435
53,0,S1_151243731
10,0,FlwStG_PC1
54,0,S1_151405819
55,0,S1_151406483
56,0,S1_161180889
57,0,S1_174628689
58,0,S1_174883906
59,0,S1_178102971
27,0,Sodium.ppm.Na
61,0,S1_249442876
97,0,S4_227841974
45,0,S1_37819321
13,0,StGEnG_PC2
44,0,S1_34331549
28,0,X.H.Sat
29,0,X.K.Sat
219,0,S5_80080032
32,0,X.Na.Sat
21,0,Organic.Matter.LOI..
34,0,X..Sand
35,0,X..Silt
62,0,S2_33832258
20,0,X1.1.S.Salts.mmho.cm
19,0,X1.1.Soil.pH
217,0,S5_57770334
216,0,S5_57197785
18,0,legume
42,0,S1_15197748
43,0,S1_15197819
17,0,MatHar_PC2
218,0,S5_80079918
63,0,S2_33833813
60,0,S1_179292461
64,0,S3_8557034
221,0,S5_87261844
7,0,FloFla_PC2
84,0,S4_179139359
85,0,S4_180214767
86,0,S4_181309388
5,0,EnJFlo_PC2
88,0,S4_182645175
81,0,S4_176830111
4,0,EnJFlo_PC1
89,0,S4_182645197
222,0,S5_91876251
91,0,S4_187641593
92,0,S4_205208977
93,0,S4_205209121
94,0,S4_205209141
95,0,S4_205297849
3,0,EmeEnJ_PC2
80,0,S4_175373410
82,0,S4_177080506
72,0,S3_125751159
65,0,S3_53248184
66,0,S3_55537103
67,0,S3_81739743
68,0,S3_82705732
69,0,S3_125219740
70,0,S3_125308205
71,0,S3_125750900
73,0,S3_191231421
26,0,Magnesium.ppm.Mg
75,0,S4_119907408
76,0,S4_120023805
77,0,S4_120025654
78,0,S4_121180739
79,0,S4_175150901
74,0,S4_559104
12,1,StGEnG_PC1
220,1,S5_87258880
23,1,Potassium.ppm.K
6,1,FloFla_PC1
183,1,S3_126175975
190,1,S4_10628411
24,1,Sulfate.S.ppm.S
201,1,S4_189555051
112,1,S1_17939166
176,1,S3_5938783
106,1,S5_108587884
107,1,S5_108947929
87,1,S4_182373362
114,1,S1_34134757
49,1,S1_144494100
25,1,Calcium.ppm.Ca
159,1,S2_199679802
155,1,S2_106945935
215,1,S5_57197531
172,1,S2_237242168
33,1,Mehlich.P.III.ppm.P
36,1,X..Clay
160,1,S2_204297911
90,2,S4_186369488
31,2,X.Mg.Sat
214,2,S5_56985448
118,2,S1_38218091
135,2,S1_227210945
146,2,S2_12954150
15,2,EnGMat_PC2
9,2,FlaFlw_PC2
38,3,LD_02
157,3,S2_140252112
22,3,Nitrate.N.ppm.N
14,3,EnGMat_PC1
2,3,EmeEnJ_PC1
16,3,MatHar_PC1
46,3,S1_49890198
0,4,GerEme_PC1
153,4,S2_76487723
149,4,S2_29325616
83,4,S4_178782894
41,4,LD_05
30,4,X.Ca.Sat
11,6,FlwStG_PC2
39,7,LD_03
8,8,FlaFlw_PC1
40,9,LD_04
1,9,GerEme_PC2
156,9,S2_139937572
37,17,LD_01
224,96,V4
