,Value,Feature
0,0,GerEme_PC1
143,0,S1_295718668
144,0,S1_295718709
145,0,S1_296577601
146,0,S2_12954150
147,0,S2_19622790
148,0,S2_19623073
149,0,S2_29325616
150,0,S2_33157979
151,0,S2_38999250
152,0,S2_43287843
153,0,S2_76487723
154,0,S2_91378197
155,0,S2_106945935
156,0,S2_139937572
157,0,S2_140252112
158,0,S2_146642504
159,0,S2_199679802
161,0,S2_206684723
162,0,S2_207020599
163,0,S2_207813292
164,0,S2_210251299
165,0,S2_210616951
166,0,S2_213746375
142,0,S1_295718631
141,0,S1_278437794
140,0,S1_263190840
139,0,S1_256455436
113,0,S1_19577469
227,0,V24
115,0,S1_34595413
116,0,S1_37162746
117,0,S1_37162874
118,0,S1_38218091
119,0,S1_38224199
120,0,S1_40295123
121,0,S1_42958251
122,0,S1_43350325
123,0,S1_47294536
167,0,S2_215832791
124,0,S1_49952020
128,0,S1_73236154
129,0,S1_80058764
130,0,S1_87210982
131,0,S1_88350992
132,0,S1_153299096
133,0,S1_226684665
134,0,S1_226684690
135,0,S1_227210945
136,0,S1_229342565
137,0,S1_246929247
138,0,S1_247232813
125,0,S1_64027794
112,0,S1_17939166
168,0,S2_217265201
170,0,S2_228836124
201,0,S4_189555051
202,0,S4_203810821
203,0,S4_204294104
204,0,S4_210199514
205,0,S4_215627176
206,0,S4_215629646
207,0,S5_7438790
208,0,S5_32073558
209,0,S5_33878230
210,0,S5_46144704
211,0,S5_48206998
213,0,S5_48442820
214,0,S5_56985448
215,0,S5_57197531
216,0,S5_57197785
217,0,S5_57770334
218,0,S5_80079918
219,0,S5_80080032
221,0,S5_87261844
222,0,S5_91876251
223,0,S5_94905273
225,0,V8
226,0,V9
200,0,S4_183877472
199,0,S4_182170103
198,0,S4_179575141
197,0,S4_175088452
171,0,S2_235756908
172,0,S2_237242168
173,0,S2_237549304
174,0,S3_2203494
175,0,S3_4413878
177,0,S3_15208892
178,0,S3_25908443
179,0,S3_32507005
180,0,S3_32507491
181,0,S3_38078013
182,0,S3_38258873
169,0,S2_223689421
183,0,S3_126175975
185,0,S3_182435079
186,0,S3_193879432
188,0,S3_216710923
189,0,S4_2019300
190,0,S4_10628411
191,0,S4_10628489
192,0,S4_55572473
193,0,S4_153659851
194,0,S4_154026731
195,0,S4_174235358
196,0,S4_175083889
184,0,S3_153743500
110,0,S1_2626260
114,0,S1_34134757
108,0,S5_109478365
35,0,X..Silt
37,0,LD_01
38,0,LD_02
39,0,LD_03
40,0,LD_04
41,0,LD_05
42,0,S1_15197748
43,0,S1_15197819
44,0,S1_34331549
45,0,S1_37819321
33,0,Mehlich.P.III.ppm.P
46,0,S1_49890198
48,0,S1_50284929
49,0,S1_144494100
50,0,S1_144494121
51,0,S1_144571395
52,0,S1_144606435
109,0,S5_109478428
54,0,S1_151405819
55,0,S1_151406483
56,0,S1_161180889
57,0,S1_174628689
47,0,S1_50197702
32,0,X.Na.Sat
31,0,X.Mg.Sat
30,0,X.Ca.Sat
1,0,GerEme_PC2
2,0,EmeEnJ_PC1
3,0,EmeEnJ_PC2
5,0,EnJFlo_PC2
6,0,FloFla_PC1
7,0,FloFla_PC2
9,0,FlaFlw_PC2
10,0,FlwStG_PC1
11,0,FlwStG_PC2
14,0,EnGMat_PC1
15,0,EnGMat_PC2
16,0,MatHar_PC1
18,0,legume
19,0,X1.1.Soil.pH
20,0,X1.1.S.Salts.mmho.cm
21,0,Organic.Matter.LOI..
22,0,Nitrate.N.ppm.N
23,0,Potassium.ppm.K
24,0,Sulfate.S.ppm.S
25,0,Calcium.ppm.Ca
27,0,Sodium.ppm.Na
28,0,X.H.Sat
29,0,X.K.Sat
58,0,S1_174883906
59,0,S1_178102971
53,0,S1_151243731
61,0,S1_249442876
85,0,S4_180214767
86,0,S4_181309388
87,0,S4_182373362
60,0,S1_179292461
89,0,S4_182645197
90,0,S4_186369488
91,0,S4_187641593
92,0,S4_205208977
93,0,S4_205209121
94,0,S4_205209141
95,0,S4_205297849
97,0,S4_227841974
99,0,S5_65207667
100,0,S5_65207745
101,0,S5_65207766
102,0,S5_65257052
103,0,S5_65258478
104,0,S5_89433301
105,0,S5_89434255
106,0,S5_108587884
107,0,S5_108947929
84,0,S4_179139359
83,0,S4_178782894
228,0,V26
70,0,S3_125308205
66,0,S3_55537103
69,0,S3_125219740
65,0,S3_53248184
64,0,S3_8557034
71,0,S3_125750900
72,0,S3_125751159
73,0,S3_191231421
74,0,S4_559104
63,0,S2_33833813
80,0,S4_175373410
82,0,S4_177080506
81,0,S4_176830111
75,0,S4_119907408
79,0,S4_175150901
78,0,S4_121180739
68,0,S3_82705732
77,0,S4_120025654
76,0,S4_120023805
127,1,S1_69014010
67,1,S3_81739743
187,1,S3_213280567
98,1,S4_227842064
212,1,S5_48207110
160,2,S2_204297911
220,2,S5_87258880
62,2,S2_33832258
36,2,X..Clay
96,2,S4_227793546
176,2,S3_5938783
34,2,X..Sand
88,2,S4_182645175
126,3,S1_64145994
111,3,S1_14103019
12,3,StGEnG_PC1
8,5,FlaFlw_PC1
17,6,MatHar_PC2
26,6,Magnesium.ppm.Mg
13,12,StGEnG_PC2
224,16,V6
4,18,EnJFlo_PC1
