,Value,Feature
226,0,V14
103,0,S5_65258478
102,0,S5_65257052
101,0,S5_65207766
100,0,S5_65207745
179,0,S3_32507005
228,0,V20
75,0,S4_119907408
225,0,V12
224,0,V3
94,0,S4_205209141
89,0,S4_182645197
168,0,S2_217265201
167,0,S2_215832791
131,0,S1_88350992
72,0,S3_125751159
108,0,S5_109478365
109,0,S5_109478428
76,0,S4_120023805
124,0,S1_49952020
99,1,S5_65207667
148,1,S2_19623073
193,1,S4_153659851
44,1,S1_34331549
98,1,S4_227842064
219,1,S5_80080032
117,1,S1_37162874
207,1,S5_7438790
206,1,S4_215629646
78,1,S4_121180739
52,2,S1_144606435
213,2,S5_48442820
50,2,S1_144494121
51,2,S1_144571395
65,2,S3_53248184
84,2,S4_179139359
195,2,S4_174235358
107,2,S5_108947929
87,3,S4_182373362
93,3,S4_205209121
110,3,S1_2626260
92,3,S4_205208977
175,3,S3_4413878
77,3,S4_120025654
47,3,S1_50197702
216,3,S5_57197785
191,3,S4_10628489
208,3,S5_32073558
105,3,S5_89434255
59,3,S1_178102971
211,4,S5_48206998
58,4,S1_174883906
130,4,S1_87210982
202,4,S4_203810821
97,4,S4_227841974
104,4,S5_89433301
134,4,S1_226684690
48,5,S1_50284929
144,5,S1_295718709
158,5,S2_146642504
132,5,S1_153299096
160,5,S2_204297911
210,5,S5_46144704
184,5,S3_153743500
153,6,S2_76487723
190,6,S4_10628411
79,6,S4_175150901
53,6,S1_151243731
143,6,S1_295718668
125,6,S1_64027794
205,6,S4_215627176
178,6,S3_25908443
95,6,S4_205297849
88,7,S4_182645175
91,7,S4_187641593
80,7,S4_175373410
221,7,S5_87261844
222,7,S5_91876251
185,7,S3_182435079
68,7,S3_82705732
197,7,S4_175088452
106,8,S5_108587884
18,8,legume
145,8,S1_296577601
54,8,S1_151405819
56,8,S1_161180889
116,8,S1_37162746
118,8,S1_38218091
85,8,S4_180214767
151,8,S2_38999250
67,8,S3_81739743
165,8,S2_210616951
183,8,S3_126175975
154,9,S2_91378197
142,9,S1_295718631
140,9,S1_263190840
114,9,S1_34134757
123,9,S1_47294536
204,9,S4_210199514
192,9,S4_55572473
70,9,S3_125308205
180,9,S3_32507491
150,9,S2_33157979
149,9,S2_29325616
57,9,S1_174628689
90,9,S4_186369488
223,9,S5_94905273
199,10,S4_182170103
187,10,S3_213280567
163,10,S2_207813292
96,10,S4_227793546
196,10,S4_175083889
200,10,S4_183877472
119,10,S1_38224199
55,10,S1_151406483
32,10,X.Na.Sat
29,10,X.K.Sat
186,10,S3_193879432
152,10,S2_43287843
181,11,S3_38078013
171,11,S2_235756908
189,11,S4_2019300
170,11,S2_228836124
203,11,S4_204294104
215,12,S5_57197531
177,12,S3_15208892
169,12,S2_223689421
194,12,S4_154026731
201,12,S4_189555051
164,12,S2_210251299
115,12,S1_34595413
86,12,S4_181309388
74,12,S4_559104
73,12,S3_191231421
71,12,S3_125750900
120,12,S1_40295123
81,12,S4_176830111
128,13,S1_73236154
42,13,S1_15197748
209,13,S5_33878230
212,13,S5_48207110
214,13,S5_56985448
217,13,S5_57770334
43,13,S1_15197819
172,14,S2_237242168
60,14,S1_179292461
64,14,S3_8557034
162,14,S2_207020599
156,14,S2_139937572
62,14,S2_33832258
176,14,S3_5938783
127,14,S1_69014010
126,14,S1_64145994
122,14,S1_43350325
82,15,S4_177080506
173,15,S2_237549304
46,15,S1_49890198
139,15,S1_256455436
69,15,S3_125219740
28,15,X.H.Sat
159,15,S2_199679802
112,15,S1_17939166
157,15,S2_140252112
220,16,S5_87258880
146,16,S2_12954150
137,16,S1_246929247
133,16,S1_226684665
113,16,S1_19577469
135,16,S1_227210945
66,16,S3_55537103
121,16,S1_42958251
155,17,S2_106945935
182,17,S3_38258873
161,17,S2_206684723
63,18,S2_33833813
166,18,S2_213746375
49,19,S1_144494100
129,19,S1_80058764
36,20,X..Clay
174,20,S3_2203494
45,20,S1_37819321
198,20,S4_179575141
83,22,S4_178782894
136,22,S1_229342565
141,23,S1_278437794
218,24,S5_80079918
61,24,S1_249442876
147,24,S2_19622790
138,25,S1_247232813
229,25,V23
111,27,S1_14103019
34,29,X..Sand
30,32,X.Ca.Sat
188,33,S3_216710923
31,35,X.Mg.Sat
15,36,EnGMat_PC2
13,40,StGEnG_PC2
25,41,Calcium.ppm.Ca
27,41,Sodium.ppm.Na
19,43,X1.1.Soil.pH
17,43,MatHar_PC2
35,45,X..Silt
8,46,FlaFlw_PC1
20,47,X1.1.S.Salts.mmho.cm
26,47,Magnesium.ppm.Mg
33,49,Mehlich.P.III.ppm.P
10,49,FlwStG_PC1
5,51,EnJFlo_PC2
6,51,FloFla_PC1
9,55,FlaFlw_PC2
1,58,GerEme_PC2
21,59,Organic.Matter.LOI..
23,59,Potassium.ppm.K
4,60,EnJFlo_PC1
7,60,FloFla_PC2
24,60,Sulfate.S.ppm.S
11,61,FlwStG_PC2
2,61,EmeEnJ_PC1
12,63,StGEnG_PC1
3,64,EmeEnJ_PC2
22,65,Nitrate.N.ppm.N
16,66,MatHar_PC1
14,67,EnGMat_PC1
0,81,GerEme_PC1
227,147,V17
230,211,V28
41,253,LD_05
40,256,LD_04
38,256,LD_02
39,273,LD_03
37,279,LD_01
